0,004;0,01;-0,56;-2,20
0,012;0,22;-0,27;-2,13
0,023;0,55;0,07;-1,46
0,031;1,00;0,33;-0,48
0,043;1,22;0,51;0,34
0,052;1,32;0,59;1,06
0,063;1,05;0,43;1,45
0,076;0,35;0,13;1,47
0,104;-0,17;-0,10;1,52
0,106;-0,31;-0,31;1,49
0,107;-0,33;-0,46;1,24
0,119;-0,26;-0,49;0,84
0,136;-0,13;-0,36;0,24
0,138;-0,06;-0,27;-0,34
0,152;0,06;-0,13;-0,79
0,154;0,22;-0,00;-0,96
0,169;0,29;0,13;-0,90
0,186;0,30;0,23;-0,69
0,188;0,26;0,22;-0,47
0,202;0,19;0,15;-0,27
0,219;0,23;0,10;-0,06
0,221;0,32;0,06;0,22
0,237;0,33;0,03;0,45
0,238;0,26;-0,06;0,68
0,252;0,08;-0,17;0,73
0,254;0,08;-0,17;0,73
0,256;-0,18;-0,30;0,80
0,269;-0,42;-0,45;0,82
0,277;-0,56;-0,53;0,67
0,286;-0,59;-0,51;0,37
0,308;-0,53;-0,41;0,15
0,309;-0,37;-0,22;0,08
0,310;-0,37;-0,22;0,08
0,319;-0,17;-0,04;0,05
0,337;-0,02;0,05;0,03
0,337;-0,03;0,04;-0,12
0,352;0,01;0,02;-0,21
0,369;0,10;0,07;-0,18
0,370;0,24;0,12;-0,09
0,387;0,34;0,16;-0,08
0,388;0,39;0,17;-0,03
0,403;0,35;0,11;0,00
0,405;0,23;0,02;-0,05
0,421;0,10;-0,02;-0,13
0,439;-0,04;-0,03;-0,14
0,440;-0,12;-0,02;0,01
0,455;-0,13;-0,04;0,14
0,457;-0,05;-0,04;0,22
0,472;-0,06;-0,04;0,20
0,474;-0,08;-0,02;0,10
0,496;-0,07;0,02;0,02
0,498;0,09;0,10;0,04
0,521;0,21;0,20;-0,03
0,522;0,21;0,20;-0,03
0,524;0,21;0,16;-0,13
0,525;0,09;0,13;-0,21
0,539;-0,01;0,09;-0,16
0,555;-0,02;0,05;-0,03
0,557;-0,02;0,01;-0,05
0,572;-0,01;-0,07;-0,09
0,575;0,02;-0,04;-0,08
0,594;0,04;0,02;-0,04
0,597;0,03;0,01;-0,05
0,611;-0,05;-0,03;-0,13
0,614;-0,05;-0,03;-0,13
0,616;-0,10;-0,03;-0,15
0,623;-0,12;-0,05;-0,16
0,632;-0,09;-0,05;-0,07
0,644;-0,10;-0,03;-0,01
0,653;-0,08;-0,06;0,05
0,664;-0,03;-0,03;0,17
0,690;0,02;-0,01;0,21
0,693;0,04;0,02;0,26
0,695;-0,04;0,02;0,26
0,704;-0,13;0,02;0,11
0,731;-0,20;-0,02;-0,06
0,734;-0,22;-0,05;-0,18
0,736;-0,14;0,03;-0,20
0,744;-0,00;0,09;-0,06
0,753;0,11;0,20;0,14
0,763;0,18;0,28;0,26
0,784;0,14;0,27;0,16
0,787;0,06;0,17;0,07
0,831;0,01;0,09;-0,05
0,834;0,01;0,09;-0,05
0,835;0,06;0,06;0,21
0,836;0,12;0,03;0,33
0,839;0,09;-0,02;0,44
0,844;0,13;-0,04;0,45
0,853;0,19;-0,07;0,40
0,864;0,25;-0,05;0,50
0,892;0,29;-0,01;0,46
0,897;0,27;-0,02;0,31
0,898;0,19;-0,00;0,19
0,904;0,07;-0,03;0,09
0,913;-0,02;-0,07;0,04
0,926;-0,04;-0,13;-0,01
0,933;-0,03;-0,15;-0,13
0,944;0,02;-0,11;-0,31
0,953;0,13;-0,03;-0,40
0,965;0,18;0,06;-0,35
0,990;0,15;0,07;-0,17
0,994;0,04;-0,00;0,00
0,996;-0,10;-0,08;0,14
1,004;-0,21;-0,16;0,14
1,025;-0,26;-0,17;0,15
1,027;-0,20;-0,15;0,17
1,032;-0,15;-0,11;0,19
1,045;-0,07;-0,03;0,14
1,052;0,00;-0,00;0,14
1,063;-0,00;0,00;0,15
1,073;-0,04;-0,03;0,15
1,089;-0,04;-0,04;0,06
1,091;-0,04;-0,04;0,06
1,093;-0,06;-0,03;0,02
1,104;-0,02;0,03;-0,07
1,112;0,01;0,05;-0,09
1,124;0,07;0,10;-0,02
1,132;0,12;0,14;0,17
1,145;0,12;0,12;0,23
1,153;0,08;0,10;0,26
1,164;0,07;0,07;0,24
1,173;0,03;0,01;0,22
1,188;-0,01;-0,02;0,17
1,190;-0,01;-0,02;0,17
1,193;-0,03;-0,02;0,08
1,211;-0,01;-0,05;-0,04
1,213;-0,01;-0,06;-0,16
1,224;0,03;-0,02;-0,23
1,232;0,07;-0,01;-0,18
1,244;0,07;-0,00;-0,20
1,252;0,00;-0,02;-0,16
1,264;-0,06;-0,04;-0,17
1,273;-0,19;-0,11;-0,14
1,287;-0,21;-0,13;-0,07
1,324;-0,29;-0,16;0,06
1,326;-0,34;-0,21;0,19
1,327;-0,36;-0,25;0,14
1,328;-0,27;-0,20;-0,00
1,332;-0,14;-0,10;-0,16
1,343;0,01;0,03;-0,23
1,352;0,16;0,15;-0,17
1,363;0,28;0,22;-0,04
1,372;0,27;0,20;0,10
1,384;0,17;0,13;0,17
1,413;0,08;0,05;0,18
1,418;-0,03;0,05;0,15
1,420;-0,06;0,01;0,22
1,424;-0,11;-0,02;0,16
1,433;-0,07;0,00;0,12
