0,003;-0,01;-0,06;-0,67
0,013;0,21;0,07;-0,23
0,024;0,48;0,26;0,26
0,036;0,59;0,28;0,50
0,044;0,56;0,26;0,51
0,073;0,45;0,20;0,49
0,074;0,27;0,11;0,42
0,074;0,09;0,06;0,28
0,101;0,03;0,01;0,29
0,102;-0,09;-0,01;0,27
0,118;-0,17;-0,08;0,24
0,119;-0,17;-0,12;0,08
0,140;-0,10;-0,11;0,03
0,141;0,04;-0,05;0,06
0,171;0,15;0,04;0,11
0,173;0,21;0,15;0,03
0,175;0,23;0,18;-0,08
0,176;0,23;0,18;-0,23
0,186;0,20;0,14;-0,29
0,203;0,08;0,09;-0,11
0,204;-0,02;0,00;0,12
0,218;-0,11;-0,08;0,19
0,235;-0,16;-0,13;0,26
0,237;-0,12;-0,14;0,25
0,271;-0,08;-0,13;0,19
0,274;-0,02;-0,13;0,10
0,275;0,06;-0,09;0,03
0,276;0,10;-0,04;0,07
0,286;0,14;0,04;0,13
0,303;0,21;0,11;0,11
0,305;0,25;0,17;0,04
0,319;0,18;0,18;-0,09
0,337;0,06;0,13;-0,15
0,338;0,02;0,05;-0,08
0,375;-0,04;-0,05;0,02
0,377;-0,09;-0,10;0,21
0,378;-0,09;-0,12;0,38
0,379;-0,12;-0,17;0,38
0,387;-0,13;-0,17;0,26
0,404;-0,10;-0,16;0,06
0,406;-0,09;-0,12;-0,15
0,420;-0,07;-0,08;-0,20
0,440;-0,02;-0,00;-0,09
0,441;0,06;0,04;0,00
0,472;0,05;0,03;0,03
0,473;-0,02;0,01;0,07
0,475;-0,08;-0,02;0,08
0,476;-0,13;-0,06;0,05
0,487;-0,12;-0,09;-0,02
0,504;-0,13;-0,06;0,02
0,506;-0,07;-0,02;0,16
0,521;0,01;0,01;0,17
0,537;0,02;0,04;0,20
0,539;0,04;0,08;0,25
0,573;0,10;0,12;0,28
0,574;0,16;0,12;0,28
0,576;0,14;0,07;0,17
0,577;0,07;-0,05;-0,08
0,587;0,07;-0,13;-0,27
0,604;0,04;-0,16;-0,32
0,606;0,04;-0,12;-0,28
0,614;0,02;-0,03;-0,15
0,625;0,05;-0,02;-0,09
0,633;0,03;-0,05;-0,10
0,655;-0,02;-0,02;-0,14
0,658;-0,02;0,01;-0,05
0,664;-0,00;0,05;0,03
0,708;0,07;0,08;0,09
0,710;0,03;0,09;0,12
0,711;0,03;0,06;0,14
0,712;0,01;0,06;0,12
0,713;0,05;0,10;0,08
0,724;0,07;0,15;0,07
0,733;0,08;0,19;0,00
0,749;0,09;0,22;-0,08
0,756;0,04;0,21;-0,08
0,797;-0,01;0,15;0,05
0,799;-0,06;0,06;0,20
0,800;-0,09;-0,03;0,35
0,801;-0,15;-0,07;0,51
0,804;-0,21;-0,11;0,60
0,813;-0,32;-0,19;0,47
0,831;-0,42;-0,27;0,21
0,836;-0,38;-0,28;-0,03
0,884;-0,23;-0,22;-0,15
0,886;-0,11;-0,09;-0,05
0,888;0,04;0,03;0,04
