0,010;-0,18;0,09;1,24
0,028;-0,23;0,11;1,88
0,029;0,02;0,15;2,08
0,045;0,26;0,13;1,82
0,047;0,27;-0,04;1,35
0,062;0,32;-0,10;0,74
0,079;0,47;-0,05;0,13
0,081;0,64;-0,06;-0,31
0,082;0,64;-0,06;-0,31
0,096;0,70;-0,13;-0,65
0,098;0,56;-0,13;-0,97
0,145;0,31;-0,08;-1,01
0,147;0,01;-0,05;-0,91
0,148;-0,26;-0,10;-0,55
0,149;-0,40;-0,10;-0,14
0,150;-0,22;-0,11;0,31
0,163;-0,05;-0,10;0,60
0,180;0,04;-0,14;0,66
0,182;0,19;-0,16;0,42
0,197;0,08;-0,23;-0,17
0,199;0,05;-0,06;-0,60
0,239;-0,28;0,02;-0,66
0,240;-0,27;0,15;-0,32
0,242;-0,08;0,18;0,18
0,243;-0,03;-0,03;0,65
0,248;-0,13;-0,18;0,80
0,258;-0,35;-0,31;0,71
0,266;-0,36;-0,33;0,55
0,277;-0,06;-0,28;0,41
0,297;0,13;-0,19;0,25
0,299;0,14;-0,17;0,25
0,351;-0,06;-0,08;-0,62
0,353;-0,09;0,01;-0,82
0,354;0,02;0,03;-0,72
0,356;0,02;-0,08;-0,33
0,357;-0,12;-0,08;-0,10
0,359;-0,26;-0,09;0,02
0,366;-0,25;-0,08;0,17
0,377;-0,20;-0,07;0,38
0,398;-0,13;-0,16;0,67
0,400;0,01;-0,16;0,77
0,406;0,19;-0,07;0,65
0,441;0,31;-0,03;0,37
0,443;0,26;0,08;-0,19
0,445;0,05;0,17;-0,42
0,446;-0,07;0,28;-0,46
0,457;-0,02;0,41;-0,66
0,471;-0,17;0,29;-0,67
0,478;-0,05;0,09;-0,77
0,515;0,01;-0,13;-0,76
0,518;0,07;-0,27;-0,33
0,520;0,11;-0,25;0,24
0,522;0,09;-0,15;0,62
0,527;0,01;-0,04;0,85
0,538;-0,17;-0,12;0,88
0,546;-0,23;-0,14;0,80
0,567;-0,08;-0,05;0,49
0,571;0,03;0,05;0,32
0,580;0,08;0,11;0,44
0,587;0,06;0,09;0,62
0,607;0,24;0,29;0,55
0,611;0,14;0,48;0,32
0,663;-0,08;0,16;0,11
0,665;-0,08;0,16;0,11
0,667;0,04;-0,16;-0,41
0,668;0,21;-0,29;-0,66
0,669;0,37;-0,24;-0,40
0,670;0,50;-0,14;0,10
0,672;0,44;-0,07;0,42
0,677;0,28;0,01;0,48
0,686;0,20;0,03;0,43
0,699;0,08;0,04;0,34
0,710;-0,05;0,07;0,18
0,747;-0,13;0,10;0,06
0,750;-0,19;0,14;-0,06
0,751;-0,19;0,06;-0,25
0,753;-0,06;-0,08;-0,42
0,758;0,05;-0,10;-0,32
0,767;0,14;-0,02;-0,14
0,778;0,08;-0,01;-0,01
0,788;-0,05;0,04;0,02
0,798;-0,22;0,05;-0,09
0,828;-0,32;0,02;-0,08
0,830;-0,32;-0,07;-0,09
0,832;-0,25;-0,12;-0,17
0,837;-0,13;-0,03;-0,10
0,846;-0,07;0,03;-0,02
0,857;-0,02;0,12;0,04
0,876;-0,09;0,12;-0,07
0,879;-0,14;0,10;-0,27
0,941;-0,08;0,12;-0,57
0,943;-0,08;0,12;-0,57
0,945;-0,18;0,10;-0,59
0,946;-0,29;0,09;-0,54
0,947;-0,22;0,02;-0,31
0,948;-0,07;0,03;-0,11
0,950;0,04;0,11;-0,01
0,957;0,08;0,17;-0,11
0,976;0,04;0,07;-0,20
0,980;-0,10;-0,02;-0,17
0,992;-0,10;-0,02;-0,17
