
time;ax;ay;az;wx;wy;wz;
0,0690;0,0019;0,0663;-0,2079;0,0834;-0,0039;0,0152;
0,0690;0,0019;0,0663;-0,2079;0,0834;-0,0039;0,0152;
0,0700;0,0019;0,0663;-0,2079;0,0526;-0,0081;0,0066;
0,0800;0,0019;0,0663;-0,2079;0,0526;-0,0081;0,0066;
0,1700;0,0019;0,0663;-0,2079;0,0526;-0,0081;0,0066;
0,1700;0,0019;0,0663;-0,2079;-0,0124;0,0004;-0,0051;
0,1700;0,0089;0,0260;-0,1188;-0,0124;0,0004;-0,0051;
0,1800;0,0089;0,0260;-0,1188;-0,0124;0,0004;-0,0051;
0,2700;-0,0435;0,0098;0,0229;-0,0124;0,0004;-0,0051;
0,2700;-0,0435;0,0098;0,0229;-0,0124;0,0004;-0,0051;
0,2700;-0,0435;0,0098;0,0229;-0,0188;0,0089;-0,0115;
0,2830;-0,0435;0,0098;0,0229;-0,0188;0,0089;-0,0115;
0,3700;-0,0435;0,0098;0,0229;-0,0188;0,0089;-0,0115;
0,3700;-0,0435;0,0098;0,0229;-0,0039;-0,0039;-0,0136;
0,3700;-0,0340;0,0140;0,0305;-0,0039;-0,0039;-0,0136;
0,3820;-0,0340;0,0140;0,0305;-0,0039;-0,0039;-0,0136;
0,4700;-0,0340;0,0140;0,0305;-0,0039;-0,0039;-0,0136;
0,4710;-0,0340;0,0140;0,0305;0,0046;-0,0050;-0,0072;
0,4710;-0,0504;0,0004;0,0011;0,0046;-0,0050;-0,0072;
0,4830;-0,0504;0,0004;0,0011;0,0046;-0,0050;-0,0072;
0,5710;-0,0504;0,0004;0,0011;0,0046;-0,0050;-0,0072;
0,5710;-0,0504;0,0004;0,0011;0,0004;0,0004;-0,0040;
0,5720;0,0021;0,0351;-0,0200;0,0004;0,0004;-0,0040;
0,5840;0,0021;0,0351;-0,0200;0,0004;0,0004;-0,0040;
0,6710;0,0021;0,0351;-0,0200;0,0004;0,0004;-0,0040;
0,6720;-0,0492;0,0179;0,0189;0,0004;0,0004;-0,0040;
0,6720;-0,0492;0,0179;0,0189;0,0025;0,0068;0,0024;
0,6840;-0,0492;0,0179;0,0189;0,0025;0,0068;0,0024;
0,7720;-0,0492;0,0179;0,0189;0,0025;0,0068;0,0024;
0,7720;-0,0492;0,0179;0,0189;-0,0029;-0,0007;0,0056;
0,7720;-0,0207;0,0159;-0,0139;-0,0029;-0,0007;0,0056;
0,7860;-0,0207;0,0159;-0,0139;-0,0029;-0,0007;0,0056;
0,8720;-0,0207;0,0159;-0,0139;-0,0029;-0,0007;0,0056;
0,8720;-0,0207;0,0159;-0,0139;0,0046;0,0004;-0,0008;
0,8720;0,0143;0,0120;0,0018;0,0046;0,0004;-0,0008;
0,8850;0,0143;0,0120;0,0018;0,0046;0,0004;-0,0008;
0,9720;0,0143;0,0120;0,0018;0,0046;0,0004;-0,0008;
0,9720;0,0143;0,0120;0,0018;0,0067;-0,0028;-0,0030;
0,9720;-0,0402;0,0337;0,0161;0,0067;-0,0028;-0,0030;
0,9860;-0,0402;0,0337;0,0161;0,0067;-0,0028;-0,0030;
1,0750;-0,0402;0,0337;0,0161;0,0067;-0,0028;-0,0030;
1,0760;-0,0402;0,0337;0,0161;-0,0082;-0,0039;0,0002;
1,0770;0,0185;-0,0283;-0,0229;-0,0082;-0,0039;0,0002;
1,0900;0,0185;-0,0283;-0,0229;-0,0082;-0,0039;0,0002;
1,1740;-0,0053;0,0322;0,0438;-0,0082;-0,0039;0,0002;
1,1740;-0,0053;0,0322;0,0438;-0,0082;-0,0039;0,0002;
1,1740;-0,0053;0,0322;0,0438;-0,0029;0,0046;-0,0008;
1,1890;-0,0053;0,0322;0,0438;-0,0029;0,0046;-0,0008;
1,2740;-0,0053;0,0322;0,0438;-0,0029;0,0046;-0,0008;
1,2750;-0,0053;0,0322;0,0438;0,0153;0,0025;-0,0008;
1,2750;-0,0115;0,0250;-0,0251;0,0153;0,0025;-0,0008;
1,2900;-0,0115;0,0250;-0,0251;0,0153;0,0025;-0,0008;
1,3750;-0,0115;0,0250;-0,0251;0,0153;0,0025;-0,0008;
1,3760;-0,0115;0,0250;-0,0251;0,0014;-0,0018;0,0002;
1,3760;0,0327;0,0079;-0,0433;0,0014;-0,0018;0,0002;
1,3920;0,0327;0,0079;-0,0433;0,0014;-0,0018;0,0002;
1,4760;-0,0080;0,0059;0,0036;0,0014;-0,0018;0,0002;
