0,0110;-0,0576;-0,0136;-0,1118;-0,0202;0,0118;-0,0033;
0,0110;-0,0721;0,0902;0,0036;-0,0202;0,0118;-0,0033;
0,0600;-0,0721;0,0902;0,0036;-0,0202;0,0118;-0,0033;
0,0910;-0,0721;0,0902;0,0036;-0,0202;0,0118;-0,0033;
0,1110;-0,0721;0,0902;0,0036;0,1566;0,0097;-0,0087;
0,1110;-0,0812;0,1766;0,3821;0,1566;0,0097;-0,0087;
0,1610;-0,0812;0,1766;0,3821;0,1566;0,0097;-0,0087;
0,1910;-0,0812;0,1766;0,3821;0,1566;0,0097;-0,0087;
0,2110;-0,0812;0,1766;0,3821;-0,0383;0,0118;0,0094;
0,2120;-0,1321;0,0436;-0,4491;-0,0383;0,0118;0,0094;
0,2610;-0,1321;0,0436;-0,4491;-0,0383;0,0118;0,0094;
0,2920;-0,1321;0,0436;-0,4491;-0,0383;0,0118;0,0094;
0,3120;-0,1321;0,0436;-0,4491;-0,0884;0,0107;0,0105;
0,3120;-0,1111;0,0278;-0,1651;-0,0884;0,0107;0,0105;
0,3620;-0,1111;0,0278;-0,1651;-0,0884;0,0107;0,0105;
0,3920;-0,1111;0,0278;-0,1651;-0,0884;0,0107;0,0105;
0,4120;-0,1111;0,0278;-0,1651;0,0309;0,0054;-0,0076;
0,4130;-0,0511;0,0656;0,2253;0,0309;0,0054;-0,0076;
0,4630;-0,0511;0,0656;0,2253;0,0309;0,0054;-0,0076;
0,4920;-0,0511;0,0656;0,2253;0,0309;0,0054;-0,0076;
0,5120;-0,1018;0,0539;0,0266;0,0309;0,0054;-0,0076;
0,5130;-0,1018;0,0539;0,0266;0,0320;-0,0042;-0,0044;
0,5640;-0,1018;0,0539;0,0266;0,0320;-0,0042;-0,0044;
0,5930;-0,1018;0,0539;0,0266;0,0320;-0,0042;-0,0044;
0,6130;-0,1018;0,0539;0,0266;-0,0234;-0,0010;0,0031;
0,6130;-0,1011;0,0227;-0,1601;-0,0234;-0,0010;0,0031;
0,6650;-0,1011;0,0227;-0,1601;-0,0234;-0,0010;0,0031;
0,6930;-0,1011;0,0227;-0,1601;-0,0234;-0,0010;0,0031;
0,7130;-0,0749;0,0654;0,0117;-0,0234;-0,0010;0,0031;
0,7130;-0,0749;0,0654;0,0117;-0,0021;0,0022;-0,0023;
0,7650;-0,0749;0,0654;0,0117;-0,0021;0,0022;-0,0023;
0,7940;-0,0749;0,0654;0,0117;-0,0021;0,0022;-0,0023;
0,8140;-0,1277;0,0537;0,0351;-0,0021;0,0022;-0,0023;
0,8140;-0,1277;0,0537;0,0351;-0,0010;0,0065;0,0041;
0,8660;-0,1277;0,0537;0,0351;-0,0010;0,0065;0,0041;
0,8940;-0,1277;0,0537;0,0351;-0,0010;0,0065;0,0041;
0,9140;-0,1277;0,0537;0,0351;-0,0106;-0,0042;0,0062;
0,9140;-0,0846;0,0212;-0,0121;-0,0106;-0,0042;0,0062;
0,9660;-0,0846;0,0212;-0,0121;-0,0106;-0,0042;0,0062;
