0,004;-0,60;-0,61;-3,10
0,018;-0,23;0,01;-2,05
0,025;0,14;0,50;-0,83
0,036;0,64;0,62;0,38
0,045;0,91;0,60;1,32
0,056;0,78;0,47;1,96
0,069;0,56;0,31;2,24
0,076;0,30;0,07;2,02
0,085;0,04;-0,10;1,48
0,096;-0,11;-0,18;0,72
0,116;-0,41;-0,29;0,04
0,117;-0,58;-0,31;-0,41
0,147;-0,49;-0,24;-0,50
0,149;-0,22;-0,13;-0,39
0,150;0,02;0,01;-0,36
0,156;0,24;0,23;-0,40
0,167;0,43;0,42;-0,42
0,177;0,45;0,49;-0,47
0,185;0,46;0,45;-0,33
0,196;0,37;0,28;-0,19
0,217;0,08;0,10;-0,09
0,219;-0,20;-0,09;0,05
0,240;-0,36;-0,24;0,25
0,241;-0,30;-0,32;0,33
0,251;-0,22;-0,29;0,37
0,267;-0,17;-0,26;0,19
0,269;-0,11;-0,24;0,05
0,285;-0,04;-0,17;-0,01
0,288;0,04;-0,09;0,06
0,302;0,13;0,03;0,36
0,317;0,27;0,09;0,60
0,319;0,30;0,07;0,53
0,346;0,23;0,04;0,27
0,348;0,17;0,04;0,13
0,349;0,18;0,00;-0,02
0,357;0,16;-0,03;-0,15
0,365;0,07;-0,09;-0,12
0,376;0,03;-0,12;-0,11
0,402;0,14;-0,07;-0,13
0,403;0,29;-0,01;-0,25
0,406;0,33;0,12;-0,34
0,424;0,33;0,18;-0,43
0,425;0,38;0,18;-0,47
0,436;0,40;0,19;-0,39
0,445;0,32;0,15;-0,20
0,456;0,19;0,08;-0,05
0,465;0,17;0,04;0,22
0,476;0,17;-0,01;0,46
0,503;0,14;-0,03;0,51
0,507;0,14;-0,07;0,31
0,508;0,11;-0,09;-0,07
0,517;0,10;-0,06;-0,42
0,562;0,14;-0,00;-0,60
0,564;0,30;0,11;-0,61
0,566;0,34;0,19;-0,46
0,567;0,39;0,25;-0,08
0,569;0,36;0,24;-0,08
0,576;0,14;0,10;0,28
0,608;-0,16;-0,11;0,16
0,610;-0,38;-0,27;0,04
0,611;-0,46;-0,31;0,03
0,616;-0,29;-0,21;0,18
0,625;-0,12;-0,02;0,31
0,637;-0,02;0,10;0,39
0,645;0,02;0,13;0,33
0,656;0,04;0,17;0,28
0,665;0,12;0,20;0,20
0,676;0,19;0,25;0,18
0,694;0,22;0,21;0,15
0,697;0,23;0,19;0,16
0,747;0,20;0,19;0,17
0,750;0,11;0,13;0,15
0,752;-0,00;0,06;0,18
0,753;-0,07;-0,03;0,21
0,756;-0,18;-0,12;0,18
0,758;-0,26;-0,19;0,12
0,765;-0,27;-0,24;0,15
0,776;-0,24;-0,25;0,26
0,786;-0,17;-0,18;0,42
0,797;-0,13;-0,12;0,46
0,822;-0,14;-0,07;0,39
0,824;-0,17;-0,10;0,18
0,825;-0,11;-0,10;-0,04
0,838;0,03;-0,04;-0,12
0,845;0,06;0,05;-0,06
0,856;0,07;0,05;0,12
0,869;0,11;0,03;0,28
0,878;0,09;-0,04;0,20
0,886;0,01;-0,12;-0,11
0,902;-0,09;-0,18;-0,37
0,907;-0,11;-0,13;-0,30
0,917;0,08;-0,02;-0,10
0,956;0,28;0,12;0,13
0,958;0,27;0,12;0,13
0,959;0,27;0,20;0,13
